127.0.0.1 - - [16/Sep/2016:11:40:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:40:52 +0530] "GET /bookstore/ HTTP/1.1" 200 8104
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:40:53 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:40:53 +0530] "GET /bookstore/resources/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:40:53 +0530] "GET /bookstore/resources/images/find.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:40:53 +0530] "GET /bookstore/resources/images/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:40:53 +0530] "GET /bookstore/resources/images/slide.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:37 +0530] "GET /bookstore/ HTTP/1.1" 200 8104
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:38 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:38 +0530] "GET /bookstore/resources/images/book1.jpg HTTP/1.1" 200 173362
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:38 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:38 +0530] "GET /bookstore/resources/images/find.png HTTP/1.1" 200 32296
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:38 +0530] "GET /bookstore/resources/images/new.jpg HTTP/1.1" 200 40875
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:38 +0530] "GET /bookstore/resources/images/slide.jpg HTTP/1.1" 200 190395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:41:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:46:32 +0530] "GET /bookstore/ HTTP/1.1" 200 8245
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:46:32 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:46:32 +0530] "GET /bookstore/resources/images/book1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:46:32 +0530] "GET /bookstore/resources/images/find.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:46:32 +0530] "GET /bookstore/resources/images/new.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:46:32 +0530] "GET /bookstore/resources/images/slide.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:46:32 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:50:09 +0530] "GET /bookstore/ HTTP/1.1" 200 7698
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:50:09 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:50:09 +0530] "GET /bookstore/resources/images/book1.jpg HTTP/1.1" 200 173362
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:50:09 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:50:09 +0530] "GET /bookstore/resources/images/find.png HTTP/1.1" 200 32296
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:50:09 +0530] "GET /bookstore/resources/images/new.jpg HTTP/1.1" 200 40875
0:0:0:0:0:0:0:1 - - [16/Sep/2016:11:50:09 +0530] "GET /bookstore/resources/images/slide.jpg HTTP/1.1" 200 190395
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:15 +0530] "GET /bookstore/ HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:15 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:17 +0530] "GET /bookstore/ HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:17 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:28 +0530] "GET /bookstore/categories HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:28 +0530] "GET /bookstore/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:28 +0530] "GET /bookstore/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:49 +0530] "GET /bookstore/category/add HTTP/1.1" 500 13578
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:52 +0530] "GET /bookstore/ HTTP/1.1" 200 7498
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:52 +0530] "GET /bookstore/resources/bootstrap-3.3.7-dist/js/angular.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Sep/2016:12:21:59 +0530] "GET /bookstore/categories HTTP/1.1" 200 3844
